oracle_id,oracle_name,round,degree,progress_pct,accuracy,tier,fired,avg_coverage_width,max_coverage_width,total_slack,noisy_flip
1,uniform,1,2,11,0.111905,insufficient,false,0.833334,1.000000,0.000000,false
1,uniform,2,2,20,0.200000,insufficient,false,0.666667,1.000000,0.000000,false
1,uniform,3,2,32,0.320238,insufficient,false,0.500000,1.000000,0.000000,false
1,uniform,4,2,54,0.541904,insufficient,false,0.333334,1.000000,0.000000,false
1,uniform,5,2,76,0.756348,high,false,0.125001,0.166667,0.000000,false
1,uniform,6,2,76,0.756349,high,false,0.125001,0.166667,0.000000,false
1,uniform,7,2,76,0.756349,high,false,0.125001,0.166667,0.000000,false
1,uniform,8,2,76,0.756349,high,false,0.125001,0.166667,0.000000,false
1,uniform,9,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,10,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,11,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,12,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,13,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,14,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,15,2,76,0.756349,high,false,0.125000,0.166667,0.000000,false
1,uniform,16,2,76,0.758730,high,false,0.125000,0.166667,0.000000,false
1,uniform,17,2,76,0.758730,high,false,0.125000,0.166667,0.000000,false
1,uniform,18,2,76,0.758730,high,false,0.125000,0.166667,0.000000,false
1,uniform,19,2,76,0.762698,high,false,0.125000,0.166667,0.000000,false
1,uniform,20,2,76,0.762698,high,false,0.125000,0.166667,0.000000,false
1,uniform,21,2,76,0.762698,high,false,0.125000,0.166667,0.000000,false
1,uniform,22,2,76,0.762698,high,false,0.125000,0.166667,0.000000,false
1,uniform,23,2,76,0.762698,high,false,0.125000,0.166667,0.000000,false
1,uniform,24,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,25,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,26,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,27,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,28,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,29,2,76,0.764286,high,false,0.125000,0.166667,0.000000,false
1,uniform,30,2,80,0.796428,high,false,0.121528,0.166667,0.000000,false
1,uniform,31,2,82,0.820238,high,false,0.118056,0.166667,0.000000,false
1,uniform,32,2,85,0.854761,veryHigh,false,0.114584,0.166667,0.000000,false
1,uniform,33,2,85,0.854761,veryHigh,false,0.114584,0.166667,0.000000,false
1,uniform,34,2,85,0.854761,veryHigh,true,0.114584,0.166667,0.000000,false
1,uniform,35,2,85,0.854761,veryHigh,true,0.114584,0.166667,0.000000,false
1,uniform,36,2,85,0.854762,veryHigh,true,0.114584,0.166667,0.000000,false
1,uniform,37,2,87,0.867460,veryHigh,true,0.111111,0.166667,0.000000,false
1,uniform,38,2,87,0.867460,veryHigh,true,0.111111,0.166667,0.000000,false
1,uniform,39,2,87,0.867460,veryHigh,true,0.111111,0.166667,0.000000,false
1,uniform,40,2,87,0.867460,veryHigh,true,0.111111,0.166667,0.000000,false
1,uniform,41,2,88,0.876984,veryHigh,true,0.107639,0.166667,0.000000,false
1,uniform,42,2,88,0.876984,veryHigh,true,0.107639,0.166667,0.000000,false
1,uniform,43,2,88,0.876984,veryHigh,true,0.107639,0.166667,0.000000,false
